"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"6b165349-a928-4f75-a604-771dad032baa","HCM_2251.txt","Edward II","char-offset:47","PERSON","","","","","","","","Principal","King Edward II"
"53412897-1ac4-49d9-a3fe-f9b4dd3ac3d5","HCM_2251.txt","Robert de Gloucestre","char-offset:119","PERSON","","","","","","","","Principal",""
"2d80d5f1-e877-4345-a420-6a203938f28a","HCM_2251.txt","Gloucestre","char-offset:129","PLACE","","","","","","","UNVERIFIED","Nominative",""
"8e854c2d-7d64-4727-a1ae-698360505f20","HCM_2251.txt","the dean and chapter of the church of St. Ethelbert, Hereford","char-offset:143","PERSON","","","","","","","","Collective|Office|Principal",""
"c1f1fd25-b938-46a7-8b45-6b01ab85d67b","HCM_2251.txt","the church of St. Ethelbert, Hereford","char-offset:167","PLACE","","","","","","","UNVERIFIED","",""
"0148ee5e-f988-4383-b0da-48edb3120a84","HCM_2251.txt","Hereford","char-offset:196","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative",""
"ba2840b2-6991-4d6f-ad9b-c3618bc13cc2","HCM_2251.txt","Hereford","char-offset:239","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"c3a4f187-c70f-4b04-b9d1-b2a05f6cd7ff","HCM_2251.txt","their church","char-offset:282","","","","","","","","","Building",""
"50580f94-d438-4210-a49b-7545decb929e","HCM_2251.txt","Latin","char-offset:325","","","","","","","","","Language",""
"28489dab-738a-4a97-8625-5eb00e9b998f","HCM_2257.txt","Richard [de Swinfield], bishop of Hereford","char-offset:40","PERSON","","","","","","","","Principal",""
"8bfaf8fb-75b8-4ee4-84c1-bf746f307dbd","HCM_2257.txt","bishop of Hereford","char-offset:64","","","","","","","","","Job",""
"de7918a5-06cc-4661-b3bf-69665dd45d4a","HCM_2257.txt","Hereford","char-offset:74","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"8c671be8-51ff-4579-835b-cab4030fa2d6","HCM_2257.txt","the dean and chapter of Hereford","char-offset:87","PERSON","","","","","","","","Collective|Office|Principal",""
"ec2bb3d2-6fff-496b-8e2a-b39191eb8544","HCM_2257.txt","Hereford","char-offset:111","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"6acf3cfa-8864-4755-9e5e-3327d39c6ce2","HCM_2257.txt","the king","char-offset:130","PERSON","","","","","","","","","King Edward II"
